"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"UF",53,"2914830",2570160,1228880,1341280,608493,1545340,416327,300134,808799,232347
2015,"MUNICIPIO",5300108,"2914830",2570160,1228880,1341280,608493,1545340,416327,300134,808799,232347
