"ANO","NIVEL","CODMUNRES","TO","TORC","TORCR","TO_NN","TO_N","TO_CBI","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
2015,"UF","53",11975,0,0,1712,10263,533,2508,3253,1145,2824,6708,5262,733,0,376,291,85,112,160,4,1,195,0,26,4,1,1,10,10,16,16,0,2,2,6,2,4
2015,"MUNICIPIO","530010",11975,0,0,1712,10263,533,2508,3253,1145,2824,6708,5262,733,0,376,291,85,112,160,4,1,195,0,26,4,1,1,10,10,16,16,0,2,2,6,2,4
